,s_name,en_name,lon,lat
419,Carya illinoinensis,Pecan,-97.73415024,30.28062704
420,Carya illinoinensis,Pecan,-97.73361057,30.28121363
421,Carya illinoinensis,Pecan,-97.733533,30.28137697
422,Carya illinoinensis,Pecan,-97.73447003,30.28352016
423,Carya illinoinensis,Pecan,-97.73436361,30.28363115
424,Carya illinoinensis,Pecan,-97.73429615,30.28364092
425,Carya illinoinensis,Pecan,-97.73419566,30.2809151
426,Carya illinoinensis,Pecan,-97.73459764,30.28066139
427,Carya illinoinensis,Pecan,-97.73500144,30.28059092
428,Carya illinoinensis,Pecan,-97.73543178,30.28040156
429,Carya illinoinensis,Pecan,-97.73515505,30.28088893
430,Carya illinoinensis,Pecan,-97.73517601,30.28095387
431,Carya illinoinensis,Pecan,-97.73519425,30.28102388
432,Carya illinoinensis,Pecan,-97.73521082,30.28116608
433,Carya illinoinensis,Pecan,-97.73521245,30.28119158
434,Carya illinoinensis,Pecan,-97.7350438,30.28169313
435,Carya illinoinensis,Pecan,-97.73466506,30.27894742
436,Carya illinoinensis,Pecan,-97.73461438,30.27902879
437,Carya illinoinensis,Pecan,-97.73462144,30.27896461
438,Carya illinoinensis,Pecan,-97.73460556,30.27897669
439,Carya illinoinensis,Pecan,-97.73456212,30.27899654
440,Carya illinoinensis,Pecan,-97.73452548,30.27888782
441,Carya illinoinensis,Pecan,-97.73458302,30.27889796
442,Carya illinoinensis,Pecan,-97.73508157,30.28050027
443,Carya illinoinensis,Pecan,-97.73501189,30.28051456
444,Carya illinoinensis,Pecan,-97.73518651,30.280423300000002
445,Carya illinoinensis,Pecan,-97.73525694,30.28040841
446,Carya illinoinensis,Pecan,-97.7340043,30.28264482
447,Carya illinoinensis,Pecan,-97.73401062,30.28254714
448,Carya illinoinensis,Pecan,-97.7340353,30.28271385
449,Carya illinoinensis,Pecan,-97.73821061,30.28841014
450,Carya illinoinensis,Pecan,-97.73871967,30.29079471
451,Carya illinoinensis,Pecan,-97.73791618,30.29126822
452,Carya illinoinensis,Pecan,-97.73765795,30.29044655
453,Carya illinoinensis,Pecan,-97.73742807,30.29004585
454,Carya illinoinensis,Pecan,-97.73657078,30.29065526
455,Carya illinoinensis,Pecan,-97.73980429,30.28952062
456,Carya illinoinensis,Pecan,-97.73509914,30.29079848
457,Carya illinoinensis,Pecan,-97.73597001,30.29188852
458,Carya illinoinensis,Pecan,-97.73591238,30.29182476
459,Carya illinoinensis,Pecan,-97.73647693,30.29196571
460,Carya illinoinensis,Pecan,-97.73644784,30.2915859
461,Carya illinoinensis,Pecan,-97.73649322,30.29142032
