,id,type_ids,lat,lon,parent_id,scientific_name,en_name,en_wikipedia_url
62,668246,93,30.270359192099104,-97.74756897269279,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
63,668274,93,30.262891015745698,-97.7381339805025,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
64,668431,93,30.2975433187424,-97.7391759940132,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
65,668673,93,30.2632263393462,-97.75387291573601,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
66,668719,93,30.3072922818903,-97.74741190527901,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
67,668734,93,30.270311352249397,-97.7470297469637,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
68,668851,93,30.298167372317298,-97.7389191605986,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
69,668868,93,30.2724272388644,-97.74530495737551,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
70,668937,93,30.2737591688387,-97.7515506117988,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
71,669077,93,30.2630804251196,-97.7540639173531,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
72,669224,93,30.302598836423396,-97.7474402428235,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
73,669419,93,30.261573745822396,-97.7493279410542,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
74,669539,93,30.272859921170696,-97.7510674258931,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
75,669540,93,30.2727496052073,-97.7505311309098,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
76,669541,93,30.2727033042125,-97.7506082597135,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
77,669543,93,30.272961611037804,-97.75080588783459,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
78,669544,93,30.2728397771424,-97.7504322963274,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
79,669545,93,30.2728470181322,-97.7503208185017,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
80,669707,93,30.273113823613702,-97.75090324596901,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
81,669709,93,30.272738646385797,-97.7508034234908,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
