scientific_name,en_name,lat,lon
Carya illinoinensis,Pecan,30.27884905,-97.72827208
Carya illinoinensis,Pecan,30.27880892,-97.72822285
Carya illinoinensis,Pecan,30.2810973,-97.72539974
Carya illinoinensis,Pecan,30.281313,-97.724163
Carya illinoinensis,Pecan,30.28128337,-97.72418408
Carya illinoinensis,Pecan,30.28112745,-97.72437749
Carya illinoinensis,Pecan,30.28097183,-97.72388411
Carya illinoinensis,Pecan,30.28069077,-97.7235598
Carya illinoinensis,Pecan,30.28053049,-97.72351316
Carya illinoinensis,Pecan,30.28051212,-97.72360659
Carya illinoinensis,Pecan,30.28146522,-97.72407064
Carya illinoinensis,Pecan,30.28151525,-97.72394234
Carya illinoinensis,Pecan,30.28153912,-97.72374757
Carya illinoinensis,Pecan,30.28175189,-97.72380607
Carya illinoinensis,Pecan,30.28213275,-97.72388624
Carya illinoinensis,Pecan,30.28592101,-97.73726888
Carya illinoinensis,Pecan,30.28498006,-97.73789764
Carya illinoinensis,Pecan,30.28731394,-97.73531159
Carya illinoinensis,Pecan,30.28735444,-97.73533814
Carya illinoinensis,Pecan,30.28721907,-97.7343912
Carya illinoinensis,Pecan,30.28705779,-97.73441861
Carya illinoinensis,Pecan,30.28465166,-97.7382136
Carya illinoinensis,Pecan,30.28324158,-97.73626669
Carya illinoinensis,Pecan,30.28332186,-97.73728179
Carya illinoinensis,Pecan,30.28898942,-97.73473343
Carya illinoinensis,Pecan,30.290195299999997,-97.73484002
Carya illinoinensis,Pecan,30.29024994,-97.73482723
Carya illinoinensis,Pecan,30.29022576,-97.73476589
Carya illinoinensis,Pecan,30.29220311,-97.73597255
Carya illinoinensis,Pecan,30.29211105,-97.73599273
Carya illinoinensis,Pecan,30.29204347,-97.73590286
Carya illinoinensis,Pecan,30.2804902,-97.7300183
Carya illinoinensis,Pecan,30.28909174,-97.73908179
Carya illinoinensis,Pecan,30.28296951,-97.72493331
Carya illinoinensis,Pecan,30.27967333,-97.72514458
Carya illinoinensis,Pecan,30.27981707,-97.72708715
Carya illinoinensis,Pecan,30.27964059,-97.73309646
Carya illinoinensis,Pecan,30.27959807,-97.73312477
Carya illinoinensis,Pecan,30.27960326,-97.7331516
Carya illinoinensis,Pecan,30.27958369,-97.73307352
Carya illinoinensis,Pecan,30.27953882,-97.73315961
Carya illinoinensis,Pecan,30.28196355,-97.73648266
Carya illinoinensis,Pecan,30.28971098,-97.7338643
Carya illinoinensis,Pecan,30.28967123,-97.73377308
Carya illinoinensis,Pecan,30.28956819,-97.73370607
Carya illinoinensis,Pecan,30.28952262,-97.73365739
Carya illinoinensis,Pecan,30.28951484,-97.7335858
Carya illinoinensis,Pecan,30.28940708,-97.73371052
Carya illinoinensis,Pecan,30.28666154,-97.72340546
Carya illinoinensis,Pecan,30.28661809,-97.72334084
Carya illinoinensis,Pecan,30.28674579,-97.72324547
Carya illinoinensis,Pecan,30.27916383,-97.72560276
Carya illinoinensis,Pecan,30.27914074,-97.72540453
Carya illinoinensis,Pecan,30.28874627,-97.74310159
Carya illinoinensis,Pecan,30.2802202,-97.72447661
Carya illinoinensis,Pecan,30.2801791,-97.72446526
Carya illinoinensis,Pecan,30.27997036,-97.72443059
Carya illinoinensis,Pecan,30.28737018,-97.7239196
Carya illinoinensis,Pecan,30.28906658,-97.73492653
Carya illinoinensis,Pecan,30.28953142,-97.73479386
Carya illinoinensis,Pecan,30.28973747,-97.734875
Carya illinoinensis,Pecan,30.28878853,-97.73473034
Carya illinoinensis,Pecan,30.28004105,-97.73540479
Carya illinoinensis,Pecan,30.27999802,-97.73539026
Carya illinoinensis,Pecan,30.28379197,-97.73459755
Carya illinoinensis,Pecan,30.28396733,-97.73474642
Carya illinoinensis,Pecan,30.28402968,-97.73472187
Carya illinoinensis,Pecan,30.28416649,-97.73484169
Carya illinoinensis,Pecan,30.28450754,-97.73478795
Carya illinoinensis,Pecan,30.28448616,-97.73479834
Carya illinoinensis,Pecan,30.29204014,-97.73587157
Carya illinoinensis,Pecan,30.29202109,-97.73587916
Carya illinoinensis,Pecan,30.29198259,-97.73586575
Carya illinoinensis,Pecan,30.29191783,-97.73579008
Carya illinoinensis,Pecan,30.29181683,-97.73570444
Carya illinoinensis,Pecan,30.2918174,-97.73568923
Carya illinoinensis,Pecan,30.29183732,-97.73564067
Carya illinoinensis,Pecan,30.29180663,-97.73566258
Carya illinoinensis,Pecan,30.29178825,-97.73562835
Carya illinoinensis,Pecan,30.29166322,-97.73557826
Carya illinoinensis,Pecan,30.29165937,-97.73551035
Carya illinoinensis,Pecan,30.29147917,-97.73537185
Carya illinoinensis,Pecan,30.29113069,-97.73503894
Carya illinoinensis,Pecan,30.29081747,-97.73497492
Carya illinoinensis,Pecan,30.29075704,-97.73479267
Carya illinoinensis,Pecan,30.29241318,-97.73624282
Carya illinoinensis,Pecan,30.2923457,-97.73613482
Carya illinoinensis,Pecan,30.29226079,-97.7361348
Carya illinoinensis,Pecan,30.29158466,-97.73551534
Carya illinoinensis,Pecan,30.29144249,-97.73549588
Carya illinoinensis,Pecan,30.29144335,-97.73543001
Carya illinoinensis,Pecan,30.291396399999996,-97.73540403
Carya illinoinensis,Pecan,30.291306199999998,-97.73528112
Carya illinoinensis,Pecan,30.29127606,-97.73523666
Carya illinoinensis,Pecan,30.29124906,-97.73523974
Carya illinoinensis,Pecan,30.29121079,-97.73520779
Carya illinoinensis,Pecan,30.29115904,-97.73523395
Carya illinoinensis,Pecan,30.29099791,-97.73508426
Carya illinoinensis,Pecan,30.29093705,-97.73503945
Carya illinoinensis,Pecan,30.29099365,-97.73503662
Carya illinoinensis,Pecan,30.29091727,-97.73501632
Carya illinoinensis,Pecan,30.29088121,-97.735084
Carya illinoinensis,Pecan,30.29156397,-97.73564903
Carya illinoinensis,Pecan,30.28870162,-97.73363591
Carya illinoinensis,Pecan,30.28876733,-97.73382865
Carya illinoinensis,Pecan,30.28847843,-97.73389486
Carya illinoinensis,Pecan,30.28619135,-97.73366047
Carya illinoinensis,Pecan,30.29201154,-97.73600104
Carya illinoinensis,Pecan,30.28613705,-97.73394468
Carya illinoinensis,Pecan,30.28594279,-97.73388216
Carya illinoinensis,Pecan,30.28577014,-97.73397007
Carya illinoinensis,Pecan,30.28487491,-97.73433084
Carya illinoinensis,Pecan,30.28500785,-97.73436986
Carya illinoinensis,Pecan,30.28106058,-97.73382367
Carya illinoinensis,Pecan,30.28077113,-97.73421819
Carya illinoinensis,Pecan,30.28094333,-97.73408223
Carya illinoinensis,Pecan,30.28097088,-97.73406827
Carya illinoinensis,Pecan,30.28090321,-97.73402036
Carya illinoinensis,Pecan,30.28094283,-97.73394117
Carya illinoinensis,Pecan,30.28103695,-97.73401725
Carya illinoinensis,Pecan,30.28148445,-97.73366291
Carya illinoinensis,Pecan,30.28145939,-97.73373738
Carya illinoinensis,Pecan,30.28153865,-97.73369077
Carya illinoinensis,Pecan,30.28154359,-97.73368353
Carya illinoinensis,Pecan,30.28154931,-97.73370651
Carya illinoinensis,Pecan,30.28160677,-97.73369196
Carya illinoinensis,Pecan,30.28195625,-97.73357781
Carya illinoinensis,Pecan,30.28062704,-97.73415024
Carya illinoinensis,Pecan,30.28121363,-97.73361057
Carya illinoinensis,Pecan,30.28137697,-97.733533
Carya illinoinensis,Pecan,30.28352016,-97.73447003
Carya illinoinensis,Pecan,30.28363115,-97.73436361
Carya illinoinensis,Pecan,30.28364092,-97.73429615
Carya illinoinensis,Pecan,30.2809151,-97.73419566
Carya illinoinensis,Pecan,30.28066139,-97.73459764
Carya illinoinensis,Pecan,30.28059092,-97.73500144
Carya illinoinensis,Pecan,30.28040156,-97.73543178
Carya illinoinensis,Pecan,30.28088893,-97.73515505
Carya illinoinensis,Pecan,30.28095387,-97.73517601
Carya illinoinensis,Pecan,30.28102388,-97.73519425
Carya illinoinensis,Pecan,30.28116608,-97.73521082
Carya illinoinensis,Pecan,30.28119158,-97.73521245
Carya illinoinensis,Pecan,30.28169313,-97.7350438
Carya illinoinensis,Pecan,30.27894742,-97.73466506
Carya illinoinensis,Pecan,30.27902879,-97.73461438
Carya illinoinensis,Pecan,30.27896461,-97.73462144
Carya illinoinensis,Pecan,30.27897669,-97.73460556
Carya illinoinensis,Pecan,30.27899654,-97.73456212
Carya illinoinensis,Pecan,30.27888782,-97.73452548
Carya illinoinensis,Pecan,30.27889796,-97.73458302
Carya illinoinensis,Pecan,30.28050027,-97.73508157
Carya illinoinensis,Pecan,30.28051456,-97.73501189
Carya illinoinensis,Pecan,30.280423300000002,-97.73518651
Carya illinoinensis,Pecan,30.28040841,-97.73525694
Carya illinoinensis,Pecan,30.28264482,-97.7340043
Carya illinoinensis,Pecan,30.28254714,-97.73401062
Carya illinoinensis,Pecan,30.28271385,-97.7340353
Carya illinoinensis,Pecan,30.28841014,-97.73821061
Carya illinoinensis,Pecan,30.29079471,-97.73871967
Carya illinoinensis,Pecan,30.29126822,-97.73791618
Carya illinoinensis,Pecan,30.29044655,-97.73765795
Carya illinoinensis,Pecan,30.29004585,-97.73742807
Carya illinoinensis,Pecan,30.29065526,-97.73657078
Carya illinoinensis,Pecan,30.28952062,-97.73980429
Carya illinoinensis,Pecan,30.29079848,-97.73509914
Carya illinoinensis,Pecan,30.29188852,-97.73597001
Carya illinoinensis,Pecan,30.29182476,-97.73591238
Carya illinoinensis,Pecan,30.29196571,-97.73647693
Carya illinoinensis,Pecan,30.2915859,-97.73644784
Carya illinoinensis,Pecan,30.29142032,-97.73649322
Carya illinoinensis,Pecan,30.29246788,-97.73633745
Carya illinoinensis,Pecan,30.29249515,-97.73634901
Carya illinoinensis,Pecan,30.28920313,-97.73517882
Carya illinoinensis,Pecan,30.28680376,-97.73911190000001
Carya illinoinensis,Pecan,30.28693203,-97.73938209
Carya illinoinensis,Pecan,30.28695611,-97.73946159
Carya illinoinensis,Pecan,30.287076000000003,-97.74018074
Carya illinoinensis,Pecan,30.27551408,-97.73208682
Carya illinoinensis,Pecan,30.27592653,-97.73419341
Carya illinoinensis,Pecan,30.27588745,-97.73419488
Carya illinoinensis,Pecan,30.27591914,-97.73435129999999
Carya illinoinensis,Pecan,30.27585098,-97.73433885
Carya illinoinensis,Pecan,30.27585463,-97.73424494
Carya illinoinensis,Pecan,30.27558344,-97.73229399
Carya illinoinensis,Pecan,30.27560724,-97.73225229
Carya illinoinensis,Pecan,30.27818834,-97.73126127
Carya illinoinensis,Pecan,30.27838177,-97.73088329
Carya illinoinensis,Pecan,30.27812381,-97.73152784
Carya illinoinensis,Pecan,30.27809359,-97.73150507
Carya illinoinensis,Pecan,30.27798219,-97.73157647
Carya illinoinensis,Pecan,30.27790816,-97.73170288
Carya illinoinensis,Pecan,30.27561691,-97.73229949
Carya illinoinensis,Pecan,30.27560877,-97.73240374
Carya illinoinensis,Pecan,30.27571967,-97.73223601
Carya illinoinensis,Pecan,30.2757039,-97.73217606
Carya illinoinensis,Pecan,30.27569886,-97.73211303
Carya illinoinensis,Pecan,30.27568333,-97.73208402
Carya illinoinensis,Pecan,30.27562131,-97.73189694
Carya illinoinensis,Pecan,30.27863595,-97.73422072
Carya illinoinensis,Pecan,30.278495399999997,-97.7341498
Carya illinoinensis,Pecan,30.27832521,-97.73414848
Carya illinoinensis,Pecan,30.27825633,-97.73417361
Carya illinoinensis,Pecan,30.27820037,-97.73416489
Carya illinoinensis,Pecan,30.27722742,-97.73491546
