,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
5923427,Carya illinoinensis,Pecan,-97.73436986,30.28500785,Vitis,Grape,-97.7344493149704,30.285061911438497,31.866717057284426,1
5923763,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Mahonia trifoliolata,Agarita,-97.73384399999999,30.280991999999998,25.825636590620007,1
5923802,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Morus alba,White mulberry,-97.73379681,30.28116593,39.3535334218953,1
5923803,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Morus alba,White mulberry,-97.73379186,30.28112512,25.588966944711203,1
5923804,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Morus alba,White mulberry,-97.73376038,30.28111455,28.021582930671098,1
5923807,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Morus alba,White mulberry,-97.73394776,30.28100595,43.88013599299853,1
5923809,Carya illinoinensis,Pecan,-97.73382367,30.28106058,Morus alba,White mulberry,-97.73390415,30.28109918,29.002346650536655,1
5944047,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Mahonia trifoliolata,Agarita,-97.7342496906,30.2808290161,23.333163728605,1
5944048,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Mahonia trifoliolata,Agarita,-97.73426000040001,30.2807922615,15.262003688090646,1
5944108,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Morus alba,White mulberry,-97.73427157,30.28079364,18.71471538190053,1
5944109,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Morus alba,White mulberry,-97.73421696,30.28082183,18.500059450406514,1
5944123,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Morus alba,White mulberry,-97.73417082,30.28069732,30.78574592489243,1
5957662,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Cornus drummondii,Roughleaf dogwood,-97.7342787758,30.280667622600003,42.31062732977664,1
5964005,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Ambrosia trifida,Giant ragweed,-97.7342475952,30.2807084425,24.674235890338473,1
5964016,Carya illinoinensis,Pecan,-97.73421819,30.28077113,Vitis mustangensis,Mustang grape,-97.7342572344,30.2807108732,25.1898932354277,1
5964377,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Morus alba,White mulberry,-97.73400584,30.28100248,32.323396797436516,1
